"Anio","Mes","GLP","GasAviacion","GasSuperior","GasRegular","Kerosina","rTurboJet","Diesel","DieselLS","DieselULS","Bunker","Asfalto","PetCoke","AceitesLub","GrasasLub","Solventes","Naftas","Ceras","Butano","PetroleoReconst","MTBE","Orimulsion","MezclasOleosas","Total"
2013,5,181461.6,797.62,532379.66,281823.2,73024.85,NA,1202187.85,NA,NA,331393.56,NA,180944.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2784012.56
2013,6,536847.17,1196.47,284038.03,293808.6,75416.48,NA,729711.88,NA,NA,365997.74,34302.05,167235.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2488553.89
2013,7,352909.02,795.59,486075.06,259025.83,60089.4,NA,693160.5,NA,NA,113165.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1965220.95
2013,8,359346,3677,347066.11,221433.2,58972.06,NA,505133.44,NA,NA,405352.22,NA,146366.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2047346.36
2013,9,394985.89,NA,373303.31,300794.99,83693.28,NA,803626.98,NA,NA,172130.08,305,172152.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300992.12
2013,10,415869.34,3626.98,372946.33,281168.85,133623.6,NA,980327.98,NA,NA,171722.79,889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2360174.87
2013,11,425669.24,797.21,496029.72,390941.15,5319.12,NA,903218.47,NA,NA,202139.43,152,169752.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2594018.83
2013,12,452414.08,NA,358799.64,210096.78,98883.1,NA,791698.89,NA,NA,150330.46,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2062374.95
2014,1,371888.73,1465,457365.46,487880.79,109091.19,NA,1595698.56,NA,NA,117010.52,2238,149806.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3292444.39
2014,2,336845.19,NA,455726.06,312423.86,80162.42,NA,688703.18,NA,NA,116368.88,6093.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1996323.39
2014,3,358755.83,3392.28,582572.93,472437.63,46120.4,NA,1147182.5,NA,NA,407270.41,639,330016.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3348387.65
2014,4,466766.95,1570.1,270302.22,207049,72947.78,NA,845051.33,NA,NA,332419.3,2349.7,6993.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2205449.41
2014,5,554784.32,4644.98,563319.79,417767.24,175257.51,NA,1008148.07,NA,NA,246105.2,2000.03,327251.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3299278.85
